,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
42,Canisius,32,12,20,.375,-7.60,-5.44,,7,13,,7,6,,4,12,,2196,2265,,1280,806,1861,.433,193,639,.302,391,562,.696,328,1071,452,227,80,458,603
43,Central Arkansas,31,10,21,.323,-11.26,-2.70,,9,11,,8,4,,2,16,,2316,2553,,1270,777,1842,.422,231,745,.310,531,741,.717,329,1186,451,164,159,549,637
44,Central Connecticut State,31,4,27,.129,-20.33,-4.63,,3,15,,4,9,,0,16,,1959,2396,,1240,705,1772,.398,200,560,.357,349,516,.676,263,989,313,199,105,440,581
45,Central Michigan,32,14,18,.438,-3.40,-0.26,,7,11,,12,4,,2,14,,2506,2454,,1285,876,2037,.430,247,763,.324,507,680,.746,349,1153,371,292,80,406,522
46,Charleston Southern,32,14,18,.438,-13.14,-6.98,,7,11,,9,6,,5,11,,2203,2304,,1295,792,1856,.427,258,795,.325,361,487,.741,260,1029,424,190,82,404,493
47,Charlotte,29,16,13,.552,0.46,-1.09,,10,8,,13,2,,3,11,,1922,1877,,1175,671,1480,.453,185,544,.340,395,562,.703,188,904,351,221,99,402,443
48,Chattanooga,33,20,13,.606,0.39,-1.90,,10,8,,10,4,,7,8,,2410,2261,,1325,868,1907,.455,281,787,.357,393,552,.712,301,1162,456,158,49,395,506
49,Chicago State,29,4,25,.138,-28.20,-2.85,,0,14,,3,11,,1,12,,1781,2372,,1160,596,1446,.412,162,507,.320,427,592,.721,207,848,300,144,73,513,593
50,Cincinnati,30,20,10,.667,12.33,6.73,,13,5,,13,2,,5,6,,2182,2014,,1240,763,1713,.445,197,618,.319,459,678,.677,329,1131,437,196,146,432,540
51,Clemson,31,16,15,.516,10.26,7.88,,9,11,,11,6,,3,8,,2062,1988,,1255,735,1717,.428,251,797,.315,341,497,.686,248,1045,401,211,74,386,472
52,Cleveland State,32,11,21,.344,-11.16,-2.45,,7,11,,6,8,,3,13,,2053,2298,,1290,738,1772,.416,120,408,.294,457,688,.664,370,1120,379,246,84,487,648
53,Coastal Carolina,33,16,17,.485,-0.83,-0.31,,8,12,,9,9,,7,7,,2573,2518,,1320,915,2030,.451,242,719,.337,501,700,.716,440,1329,446,248,92,530,727
54,Colgate,34,25,9,.735,1.47,-5.63,,14,4,,15,2,,9,7,,2588,2315,,1365,932,2079,.448,342,957,.357,382,511,.748,341,1246,491,206,98,370,514
55,College of Charleston,31,17,14,.548,0.53,-0.84,,11,7,,10,5,,6,6,,2176,2109,,1240,755,1717,.440,237,683,.347,429,564,.761,238,1006,337,207,78,334,523
56,Colorado,32,21,11,.656,14.91,8.31,,10,8,,13,3,,4,7,,2268,2057,,1290,777,1778,.437,241,687,.351,473,643,.736,322,1179,422,183,98,422,470
57,Colorado State,32,20,12,.625,6.70,3.96,,11,7,,12,4,,5,6,,2417,2307,,1300,841,1793,.469,258,705,.366,475,700,.679,284,1143,497,209,64,418,489
58,Columbia,30,6,24,.200,-10.19,-2.50,,1,13,,5,7,,0,16,,1988,2181,,1215,744,1819,.409,202,671,.301,298,408,.730,228,1031,328,164,93,337,465
59,Connecticut,31,19,12,.613,11.15,5.34,,10,8,,14,3,,3,7,,2258,2078,,1280,782,1862,.420,216,667,.324,478,644,.742,393,1174,400,220,185,439,577
60,Coppin State,31,11,20,.355,-14.36,-8.27,,7,9,,5,5,,6,15,,2109,2298,,1250,736,1872,.393,247,879,.281,390,613,.636,291,1181,315,209,94,445,546
61,Cornell,27,7,20,.259,-8.37,-1.85,,4,10,,6,6,,1,14,,1818,1912,,1095,669,1519,.440,194,597,.325,286,409,.699,226,866,380,182,78,313,460
62,Creighton,31,24,7,.774,17.24,9.61,,13,5,,17,1,,6,5,,2428,2162,,1245,866,1839,.471,302,783,.386,394,533,.739,246,1079,489,203,79,337,472
